Area,Quarter,Version,Variable,Value,Weight
Palmerston North City,2003-03,1.4,HAM_Rent_Med,0.747474747,0.027490281
Porirua City,2003-03,1.4,HAM_Rent_Med,0.758913413,0.014868481
Queenstown-Lakes District,2003-03,1.4,HAM_Rent_Med,0.632653061,0.004947746
Rangitikei District,2003-03,1.4,HAM_Rent_Med,0.780821918,0.001842783
Rotorua District,2003-03,1.4,HAM_Rent_Med,0.728571429,0.019437573
Ruapehu District,2003-03,1.4,HAM_Rent_Med,0.780487805,0.002069975
Selwyn District,2003-03,1.4,HAM_Rent_Med,0.555555556,0.001135962
South Taranaki District,2003-03,1.4,HAM_Rent_Med,0.704402516,0.004013733
South Waikato District,2003-03,1.4,HAM_Rent_Med,0.712643678,0.004392387
South Wairarapa District,2003-03,1.4,HAM_Rent_Med,0.757575758,0.000833039
Southland District,2003-03,1.4,HAM_Rent_Med,0.595744681,0.001186449
Stratford District,2003-03,1.4,HAM_Rent_Med,0.696428571,0.001413642
Tararua District,2003-03,1.4,HAM_Rent_Med,0.771428571,0.002650578
Tasman District,2003-03,1.4,HAM_Rent_Med,0.697802198,0.004594335
Taupo District,2003-03,1.4,HAM_Rent_Med,0.701639344,0.007699298
Tauranga City,2003-03,1.4,HAM_Rent_Med,0.708474576,0.029787449
Thames-Coromandel District,2003-03,1.4,HAM_Rent_Med,0.743315508,0.004720553
Timaru District,2003-03,1.4,HAM_Rent_Med,0.704379562,0.006916747
Upper Hutt City,2003-03,1.4,HAM_Rent_Med,0.721003135,0.008052709
Waikato District,2003-03,1.4,HAM_Rent_Med,0.751572327,0.008027465
Waimakariri District,2003-03,1.4,HAM_Rent_Med,0.695431472,0.004972989
Waimate District,2003-03,1.4,HAM_Rent_Med,0.846153846,0.000328167
Waipa District,2003-03,1.4,HAM_Rent_Med,0.643678161,0.00658858
Wairoa District,2003-03,1.4,HAM_Rent_Med,0.853658537,0.001034988
Waitaki District,2003-03,1.4,HAM_Rent_Med,0.693181818,0.002221437
Waitomo District,2003-03,1.4,HAM_Rent_Med,0.723404255,0.001186449
Wellington City,2003-03,1.4,HAM_Rent_Med,0.548261039,0.064598374
Western Bay of Plenty District,2003-03,1.4,HAM_Rent_Med,0.736526946,0.004215681
Westland District,2003-03,1.4,HAM_Rent_Med,0.724137931,0.000732064
Whakatane District,2003-03,1.4,HAM_Rent_Med,0.71875,0.006462362
Whanganui District,2003-03,1.4,HAM_Rent_Med,0.810933941,0.011081941
Whangarei District,2003-03,1.4,HAM_Rent_Med,0.751958225,0.019336598
Auckland Total,2003-03,1.4,HAM_Rent_Med,0.634436212,0.344095522
National Total,2003-03,1.4,HAM_Rent_Med,0.685767658,1
Ashburton District,2003-06,1.4,HAM_Rent_Med,0.708333333,0.003498457
Auckland: Albany Ward,2003-06,1.4,HAM_Rent_Med,0.579903148,0.02006754
Auckland: Albert-Eden-Roskill Ward,2003-06,1.4,HAM_Rent_Med,0.618881119,0.048638274
Auckland: Franklin Ward,2003-06,1.4,HAM_Rent_Med,0.644562334,0.009159156
Auckland: Howick Ward,2003-06,1.4,HAM_Rent_Med,0.589711418,0.019362989
Auckland: Manukau Ward,2003-06,1.4,HAM_Rent_Med,0.752781211,0.039309055
Auckland: Manurewa-Papakura Ward,2003-06,1.4,HAM_Rent_Med,0.725795971,0.037389762
Auckland: Maungakiekie-Tamaki Ward,2003-06,1.4,HAM_Rent_Med,0.655723159,0.027380287
Auckland: North Shore Ward,2003-06,1.4,HAM_Rent_Med,0.591492235,0.035980661
Auckland: Orakei Ward,2003-06,1.4,HAM_Rent_Med,0.49103139,0.021670999
Auckland: Rodney Ward,2003-06,1.4,HAM_Rent_Med,0.674796748,0.005976531
Auckland: Waitakere Ward,2003-06,1.4,HAM_Rent_Med,0.685595568,0.035081752
Auckland: Waitemata and Gulf Ward,2003-06,1.4,HAM_Rent_Med,0.477497256,0.022132601
Auckland: Whau Ward,2003-06,1.4,HAM_Rent_Med,0.717391304,0.018998567
Buller District,2003-06,1.4,HAM_Rent_Med,0.803921569,0.001239037
Carterton District,2003-06,1.4,HAM_Rent_Med,0.774193548,0.00075314
Central Hawke's Bay District,2003-06,1.4,HAM_Rent_Med,0.714285714,0.002210831
Central Otago District,2003-06,1.4,HAM_Rent_Med,0.626373626,0.002210831
Christchurch City,2003-06,1.4,HAM_Rent_Med,0.71070716,0.109594033
Clutha District,2003-06,1.4,HAM_Rent_Med,0.653846154,0.001263332
Dunedin City,2003-06,1.4,HAM_Rent_Med,0.782269504,0.034255728
Far North District,2003-06,1.4,HAM_Rent_Med,0.791798107,0.007701465
Gisborne District,2003-06,1.4,HAM_Rent_Med,0.79233871,0.012050242
Gore District,2003-06,1.4,HAM_Rent_Med,0.628205128,0.001894998
Grey District,2003-06,1.4,HAM_Rent_Med,0.697674419,0.002089356
Hamilton City,2003-06,1.4,HAM_Rent_Med,0.730929265,0.052549744
Hastings District,2003-06,1.4,HAM_Rent_Med,0.800904977,0.01610748
Hauraki District,2003-06,1.4,HAM_Rent_Med,0.727272727,0.002405189
Horowhenua District,2003-06,1.4,HAM_Rent_Med,0.810483871,0.006025121
Hurunui District,2003-06,1.4,HAM_Rent_Med,0.611111111,0.000874614
Invercargill City,2003-06,1.4,HAM_Rent_Med,0.725108225,0.011224217
Kaikoura District,2003-06,1.4,HAM_Rent_Med,0.736842105,0.000461602
Kaipara District,2003-06,1.4,HAM_Rent_Med,0.791666667,0.001749229
Kapiti Coast District,2003-06,1.4,HAM_Rent_Med,0.751412429,0.008600374
Kawerau District,2003-06,1.4,HAM_Rent_Med,0.8,0.001457691
Lower Hutt City,2003-06,1.4,HAM_Rent_Med,0.674688057,0.027258813
Mackenzie District,2003-06,1.4,HAM_Rent_Med,0.8,0.000242948
Manawatu District,2003-06,1.4,HAM_Rent_Med,0.77124183,0.003717111
Marlborough District,2003-06,1.4,HAM_Rent_Med,0.725714286,0.008503195
Masterton District,2003-06,1.4,HAM_Rent_Med,0.778761062,0.005490634
Matamata-Piako District,2003-06,1.4,HAM_Rent_Med,0.705583756,0.004786084
Napier City,2003-06,1.4,HAM_Rent_Med,0.74929972,0.017346517
Nelson City,2003-06,1.4,HAM_Rent_Med,0.708571429,0.012754792
New Plymouth District,2003-06,1.4,HAM_Rent_Med,0.763826607,0.016253249
Opotiki District,2003-06,1.4,HAM_Rent_Med,0.788461538,0.001263332
Otorohanga District,2003-06,1.4,HAM_Rent_Med,0.84,0.000607371
Palmerston North City,2003-06,1.4,HAM_Rent_Med,0.749338041,0.027526056
Porirua City,2003-06,1.4,HAM_Rent_Med,0.76557377,0.014819854
Queenstown-Lakes District,2003-06,1.4,HAM_Rent_Med,0.647058824,0.00536916
Rangitikei District,2003-06,1.4,HAM_Rent_Med,0.733333333,0.001822113
Rotorua District,2003-06,1.4,HAM_Rent_Med,0.749685535,0.0193144
Ruapehu District,2003-06,1.4,HAM_Rent_Med,0.822222222,0.002186536
Selwyn District,2003-06,1.4,HAM_Rent_Med,0.538461538,0.001263332
South Taranaki District,2003-06,1.4,HAM_Rent_Med,0.6875,0.003887175
South Waikato District,2003-06,1.4,HAM_Rent_Med,0.712765957,0.00456743
South Wairarapa District,2003-06,1.4,HAM_Rent_Med,0.805555556,0.000874614
Southland District,2003-06,1.4,HAM_Rent_Med,0.555555556,0.001093268
Stratford District,2003-06,1.4,HAM_Rent_Med,0.737704918,0.001481985
Tararua District,2003-06,1.4,HAM_Rent_Med,0.756756757,0.002696727
Tasman District,2003-06,1.4,HAM_Rent_Med,0.686868687,0.004810379
Taupo District,2003-06,1.4,HAM_Rent_Med,0.708333333,0.007579991
Tauranga City,2003-06,1.4,HAM_Rent_Med,0.726825267,0.029615413
Thames-Coromandel District,2003-06,1.4,HAM_Rent_Med,0.74742268,0.004713199
Timaru District,2003-06,1.4,HAM_Rent_Med,0.704626335,0.006826851
Upper Hutt City,2003-06,1.4,HAM_Rent_Med,0.712990937,0.008041593
Waikato District,2003-06,1.4,HAM_Rent_Med,0.76300578,0.008406015
Waimakariri District,2003-06,1.4,HAM_Rent_Med,0.685714286,0.005101917
Waimate District,2003-06,1.4,HAM_Rent_Med,0.916666667,0.000291538
Waipa District,2003-06,1.4,HAM_Rent_Med,0.67032967,0.006632492
Wairoa District,2003-06,1.4,HAM_Rent_Med,0.777777778,0.001093268
Waitaki District,2003-06,1.4,HAM_Rent_Med,0.741573034,0.002162241
Waitomo District,2003-06,1.4,HAM_Rent_Med,0.692307692,0.001263332
Wellington City,2003-06,1.4,HAM_Rent_Med,0.548423006,0.0654746
Western Bay of Plenty District,2003-06,1.4,HAM_Rent_Med,0.747311828,0.004518841
Westland District,2003-06,1.4,HAM_Rent_Med,0.678571429,0.000680256
Whakatane District,2003-06,1.4,HAM_Rent_Med,0.703571429,0.006802556
Whanganui District,2003-06,1.4,HAM_Rent_Med,0.814479638,0.01073832
Whangarei District,2003-06,1.4,HAM_Rent_Med,0.749354005,0.018804208
Auckland Total,2003-06,1.4,HAM_Rent_Med,0.638681193,0.341172469
National Total,2003-06,1.4,HAM_Rent_Med,0.689633391,1
Ashburton District,2003-09,1.4,HAM_Rent_Med,0.710691824,0.003579146
Auckland: Albany Ward,2003-09,1.4,HAM_Rent_Med,0.582022472,0.020034216
Auckland: Albert-Eden-Roskill Ward,2003-09,1.4,HAM_Rent_Med,0.614514609,0.047766973
Auckland: Franklin Ward,2003-09,1.4,HAM_Rent_Med,0.643564356,0.009094183
Auckland: Howick Ward,2003-09,1.4,HAM_Rent_Med,0.575,0.019809112
Auckland: Manukau Ward,2003-09,1.4,HAM_Rent_Med,0.771590909,0.039618224
Auckland: Manurewa-Papakura Ward,2003-09,1.4,HAM_Rent_Med,0.730492197,0.037502251
Auckland: Maungakiekie-Tamaki Ward,2003-09,1.4,HAM_Rent_Med,0.654634947,0.027440122
Auckland: North Shore Ward,2003-09,1.4,HAM_Rent_Med,0.588272785,0.035318747
Auckland: Orakei Ward,2003-09,1.4,HAM_Rent_Med,0.47257384,0.021339816
Auckland: Rodney Ward,2003-09,1.4,HAM_Rent_Med,0.684410646,0.005920223
Auckland: Waitakere Ward,2003-09,1.4,HAM_Rent_Med,0.685054522,0.035093643
Auckland: Waitemata and Gulf Ward,2003-09,1.4,HAM_Rent_Med,0.46506986,0.022555375
Auckland: Whau Ward,2003-09,1.4,HAM_Rent_Med,0.712441315,0.019178822
Buller District,2003-09,1.4,HAM_Rent_Med,0.763636364,0.00123807
Carterton District,2003-09,1.4,HAM_Rent_Med,0.818181818,0.000742842
Central Hawke's Bay District,2003-09,1.4,HAM_Rent_Med,0.71,0.002251035
Central Otago District,2003-09,1.4,HAM_Rent_Med,0.643564356,0.002273546
Christchurch City,2003-09,1.4,HAM_Rent_Med,0.704249053,0.107014227
Clutha District,2003-09,1.4,HAM_Rent_Med,0.649122807,0.00128309
Dunedin City,2003-09,1.4,HAM_Rent_Med,0.784868421,0.034215739
Far North District,2003-09,1.4,HAM_Rent_Med,0.777777778,0.007901135
Gisborne District,2003-09,1.4,HAM_Rent_Med,0.795497186,0.011998019
Gore District,2003-09,1.4,HAM_Rent_Med,0.626506024,0.001868359
Grey District,2003-09,1.4,HAM_Rent_Med,0.721649485,0.002183504
Hamilton City,2003-09,1.4,HAM_Rent_Med,0.72382199,0.051593733
Hastings District,2003-09,1.4,HAM_Rent_Med,0.795297372,0.016274986
Hauraki District,2003-09,1.4,HAM_Rent_Med,0.740384615,0.002341077
Horowhenua District,2003-09,1.4,HAM_Rent_Med,0.821705426,0.005807672
Hurunui District,2003-09,1.4,HAM_Rent_Med,0.617647059,0.000765352
Invercargill City,2003-09,1.4,HAM_Rent_Med,0.722792608,0.010962543
Kaikoura District,2003-09,1.4,HAM_Rent_Med,0.652173913,0.000517738
Kaipara District,2003-09,1.4,HAM_Rent_Med,0.7625,0.001800828
Kapiti Coast District,2003-09,1.4,HAM_Rent_Med,0.750623441,0.009026652
Kawerau District,2003-09,1.4,HAM_Rent_Med,0.787878788,0.001485683
Lower Hutt City,2003-09,1.4,HAM_Rent_Med,0.672091131,0.027665226
Mackenzie District,2003-09,1.4,HAM_Rent_Med,0.642857143,0.000315145
Manawatu District,2003-09,1.4,HAM_Rent_Med,0.737179487,0.003511615
Marlborough District,2003-09,1.4,HAM_Rent_Med,0.707988981,0.008171259
Masterton District,2003-09,1.4,HAM_Rent_Med,0.8,0.005515037
Matamata-Piako District,2003-09,1.4,HAM_Rent_Med,0.694174757,0.004637133
Napier City,2003-09,1.4,HAM_Rent_Med,0.754475703,0.017603097
Nelson City,2003-09,1.4,HAM_Rent_Med,0.691756272,0.012560778
New Plymouth District,2003-09,1.4,HAM_Rent_Med,0.746227709,0.016410049
Opotiki District,2003-09,1.4,HAM_Rent_Med,0.836363636,0.00123807
Otorohanga District,2003-09,1.4,HAM_Rent_Med,0.827586207,0.0006528
Palmerston North City,2003-09,1.4,HAM_Rent_Med,0.74212766,0.026449667
Porirua City,2003-09,1.4,HAM_Rent_Med,0.763993949,0.014879344
Queenstown-Lakes District,2003-09,1.4,HAM_Rent_Med,0.630705394,0.005424995
Rangitikei District,2003-09,1.4,HAM_Rent_Med,0.708860759,0.001778318
Rotorua District,2003-09,1.4,HAM_Rent_Med,0.738177624,0.019516478
Ruapehu District,2003-09,1.4,HAM_Rent_Med,0.78021978,0.002048442
Selwyn District,2003-09,1.4,HAM_Rent_Med,0.581818182,0.00123807
South Taranaki District,2003-09,1.4,HAM_Rent_Med,0.698324022,0.004029354
South Waikato District,2003-09,1.4,HAM_Rent_Med,0.738738739,0.004997299
South Wairarapa District,2003-09,1.4,HAM_Rent_Med,0.804347826,0.001035476
Southland District,2003-09,1.4,HAM_Rent_Med,0.611111111,0.001215559
Stratford District,2003-09,1.4,HAM_Rent_Med,0.739130435,0.001553214
Tararua District,2003-09,1.4,HAM_Rent_Med,0.681415929,0.00254367
Tasman District,2003-09,1.4,HAM_Rent_Med,0.68372093,0.004839726
Taupo District,2003-09,1.4,HAM_Rent_Med,0.688953488,0.007743562
Tauranga City,2003-09,1.4,HAM_Rent_Med,0.723247232,0.030501531
Thames-Coromandel District,2003-09,1.4,HAM_Rent_Med,0.744292237,0.004929768
Timaru District,2003-09,1.4,HAM_Rent_Med,0.708053691,0.006708086
Upper Hutt City,2003-09,1.4,HAM_Rent_Med,0.708092486,0.007788583
Waikato District,2003-09,1.4,HAM_Rent_Med,0.756830601,0.00823879
Waimakariri District,2003-09,1.4,HAM_Rent_Med,0.694690265,0.00508734
Waimate District,2003-09,1.4,HAM_Rent_Med,0.733333333,0.000337655
Waipa District,2003-09,1.4,HAM_Rent_Med,0.667820069,0.006505493
Wairoa District,2003-09,1.4,HAM_Rent_Med,0.811320755,0.001193049
Waitaki District,2003-09,1.4,HAM_Rent_Med,0.714285714,0.002363587
Waitomo District,2003-09,1.4,HAM_Rent_Med,0.666666667,0.001215559
Wellington City,2003-09,1.4,HAM_Rent_Med,0.52105615,0.067350981
Western Bay of Plenty District,2003-09,1.4,HAM_Rent_Med,0.76097561,0.004614623
Westland District,2003-09,1.4,HAM_Rent_Med,0.692307692,0.000877904
Whakatane District,2003-09,1.4,HAM_Rent_Med,0.720779221,0.006933189
Whanganui District,2003-09,1.4,HAM_Rent_Med,0.8200409,0.011007563
Whangarei District,2003-09,1.4,HAM_Rent_Med,0.736717828,0.01906627
Auckland Total,2003-09,1.4,HAM_Rent_Med,0.638117896,0.340626688
National Total,2003-09,1.4,HAM_Rent_Med,0.684539888,1
Ashburton District,2003-12,1.4,HAM_Rent_Med,0.686046512,0.003767468
Auckland: Albany Ward,2003-12,1.4,HAM_Rent_Med,0.574172892,0.020523941
Auckland: Albert-Eden-Roskill Ward,2003-12,1.4,HAM_Rent_Med,0.612104539,0.047772375
Auckland: Franklin Ward,2003-12,1.4,HAM_Rent_Med,0.63356974,0.009265344
Auckland: Howick Ward,2003-12,1.4,HAM_Rent_Med,0.566410538,0.01995444
Auckland: Manukau Ward,2003-12,1.4,HAM_Rent_Med,0.775323276,0.040653612
Auckland: Manurewa-Papakura Ward,2003-12,1.4,HAM_Rent_Med,0.729405034,0.038287992
Auckland: Maungakiekie-Tamaki Ward,2003-12,1.4,HAM_Rent_Med,0.653876898,0.027401761
Auckland: North Shore Ward,2003-12,1.4,HAM_Rent_Med,0.581424149,0.035374775
Auckland: Orakei Ward,2003-12,1.4,HAM_Rent_Med,0.46680286,0.021443904
Auckland: Rodney Ward,2003-12,1.4,HAM_Rent_Med,0.685185185,0.005914049
Auckland: Waitakere Ward,2003-12,1.4,HAM_Rent_Med,0.68009768,0.035878565
Auckland: Waitemata and Gulf Ward,2003-12,1.4,HAM_Rent_Med,0.455252918,0.022517195
Auckland: Whau Ward,2003-12,1.4,HAM_Rent_Med,0.709976798,0.01888115
Buller District,2003-12,1.4,HAM_Rent_Med,0.775862069,0.001270425
Carterton District,2003-12,1.4,HAM_Rent_Med,0.8125,0.000700924
Central Hawke's Bay District,2003-12,1.4,HAM_Rent_Med,0.73,0.002190389
Central Otago District,2003-12,1.4,HAM_Rent_Med,0.660714286,0.002453235
Christchurch City,2003-12,1.4,HAM_Rent_Med,0.705383023,0.105795768
Clutha District,2003-12,1.4,HAM_Rent_Med,0.672727273,0.001204714
Dunedin City,2003-12,1.4,HAM_Rent_Med,0.772398844,0.030314978
Far North District,2003-12,1.4,HAM_Rent_Med,0.779569892,0.008148245
Gisborne District,2003-12,1.4,HAM_Rent_Med,0.79390681,0.012222368
Gore District,2003-12,1.4,HAM_Rent_Med,0.670588235,0.00186183
Grey District,2003-12,1.4,HAM_Rent_Med,0.701030928,0.002124677
Hamilton City,2003-12,1.4,HAM_Rent_Med,0.718347401,0.049305647
Hastings District,2003-12,1.4,HAM_Rent_Med,0.78768021,0.016712665
Hauraki District,2003-12,1.4,HAM_Rent_Med,0.75,0.002540851
Horowhenua District,2003-12,1.4,HAM_Rent_Med,0.832089552,0.005870241
Hurunui District,2003-12,1.4,HAM_Rent_Med,0.684210526,0.000832348
Invercargill City,2003-12,1.4,HAM_Rent_Med,0.722334004,0.010886231
Kaikoura District,2003-12,1.4,HAM_Rent_Med,0.692307692,0.000569501
Kaipara District,2003-12,1.4,HAM_Rent_Med,0.797468354,0.001730407
Kapiti Coast District,2003-12,1.4,HAM_Rent_Med,0.750582751,0.009396767
Kawerau District,2003-12,1.4,HAM_Rent_Med,0.814285714,0.001533272
Lower Hutt City,2003-12,1.4,HAM_Rent_Med,0.683794466,0.027708415
Mackenzie District,2003-12,1.4,HAM_Rent_Med,0.6875,0.000350462
Manawatu District,2003-12,1.4,HAM_Rent_Med,0.751515152,0.003614141
Marlborough District,2003-12,1.4,HAM_Rent_Med,0.705263158,0.008323477
Masterton District,2003-12,1.4,HAM_Rent_Med,0.798387097,0.005432164
Matamata-Piako District,2003-12,1.4,HAM_Rent_Med,0.686635945,0.004753143
Napier City,2003-12,1.4,HAM_Rent_Med,0.765492102,0.018026898
Nelson City,2003-12,1.4,HAM_Rent_Med,0.711148649,0.0129671
New Plymouth District,2003-12,1.4,HAM_Rent_Med,0.751978892,0.016603145
Opotiki District,2003-12,1.4,HAM_Rent_Med,0.813559322,0.001292329
Otorohanga District,2003-12,1.4,HAM_Rent_Med,0.78125,0.000700924
Palmerston North City,2003-12,1.4,HAM_Rent_Med,0.730802416,0.025386604
Porirua City,2003-12,1.4,HAM_Rent_Med,0.763425254,0.015091777
Queenstown-Lakes District,2003-12,1.4,HAM_Rent_Med,0.594142259,0.005235029
Rangitikei District,2003-12,1.4,HAM_Rent_Med,0.731707317,0.001796119
Rotorua District,2003-12,1.4,HAM_Rent_Med,0.753072626,0.019603978
Ruapehu District,2003-12,1.4,HAM_Rent_Med,0.772727273,0.001927542
Selwyn District,2003-12,1.4,HAM_Rent_Med,0.607142857,0.001226618
South Taranaki District,2003-12,1.4,HAM_Rent_Med,0.708108108,0.004052219
South Waikato District,2003-12,1.4,HAM_Rent_Med,0.737991266,0.00501599
South Wairarapa District,2003-12,1.4,HAM_Rent_Med,0.822222222,0.000985675
Southland District,2003-12,1.4,HAM_Rent_Med,0.583333333,0.001314233
Stratford District,2003-12,1.4,HAM_Rent_Med,0.76056338,0.001555176
Tararua District,2003-12,1.4,HAM_Rent_Med,0.73015873,0.00275989
Tasman District,2003-12,1.4,HAM_Rent_Med,0.695473251,0.005322644
Taupo District,2003-12,1.4,HAM_Rent_Med,0.673184358,0.007841591
Tauranga City,2003-12,1.4,HAM_Rent_Med,0.718684395,0.031300653
Thames-Coromandel District,2003-12,1.4,HAM_Rent_Med,0.783410138,0.004753143
Timaru District,2003-12,1.4,HAM_Rent_Med,0.724458204,0.007074955
Upper Hutt City,2003-12,1.4,HAM_Rent_Med,0.704735376,0.007863495
Waikato District,2003-12,1.4,HAM_Rent_Med,0.748091603,0.008608227
Waimakariri District,2003-12,1.4,HAM_Rent_Med,0.700854701,0.005125509
Waimate District,2003-12,1.4,HAM_Rent_Med,0.80952381,0.000459982
Waipa District,2003-12,1.4,HAM_Rent_Med,0.639072848,0.006614973
Wairoa District,2003-12,1.4,HAM_Rent_Med,0.788461538,0.001139002
Waitaki District,2003-12,1.4,HAM_Rent_Med,0.771929825,0.002497043
Waitomo District,2003-12,1.4,HAM_Rent_Med,0.672413793,0.001270425
Wellington City,2003-12,1.4,HAM_Rent_Med,0.502677376,0.065448811
Western Bay of Plenty District,2003-12,1.4,HAM_Rent_Med,0.767123288,0.004796951
Westland District,2003-12,1.4,HAM_Rent_Med,0.688888889,0.000985675
Whakatane District,2003-12,1.4,HAM_Rent_Med,0.711598746,0.00698734
Whanganui District,2003-12,1.4,HAM_Rent_Med,0.821705426,0.011302405
Whangarei District,2003-12,1.4,HAM_Rent_Med,0.749440716,0.019582074
Auckland Total,2003-12,1.4,HAM_Rent_Med,0.634921646,0.343847198
National Total,2003-12,1.4,HAM_Rent_Med,0.68280983,1
Ashburton District,2004-03,1.4,HAM_Rent_Med,0.699453552,0.003839698
Auckland: Albany Ward,2004-03,1.4,HAM_Rent_Med,0.5613851,0.019995804
Auckland: Albert-Eden-Roskill Ward,2004-03,1.4,HAM_Rent_Med,0.606233538,0.047796895
Auckland: Franklin Ward,2004-03,1.4,HAM_Rent_Med,0.621176471,0.008917331
Auckland: Howick Ward,2004-03,1.4,HAM_Rent_Med,0.560041408,0.020268569
Auckland: Manukau Ward,2004-03,1.4,HAM_Rent_Med,0.766753247,0.040390264
Auckland: Manurewa-Papakura Ward,2004-03,1.4,HAM_Rent_Med,0.719063545,0.037641628
Auckland: Maungakiekie-Tamaki Ward,2004-03,1.4,HAM_Rent_Med,0.642466823,0.026877885
Auckland: North Shore Ward,2004-03,1.4,HAM_Rent_Med,0.575252826,0.035270667
Auckland: Orakei Ward,2004-03,1.4,HAM_Rent_Med,0.462151394,0.021065883
Auckland: Rodney Ward,2004-03,1.4,HAM_Rent_Med,0.638686131,0.005749056
Auckland: Waitakere Ward,2004-03,1.4,HAM_Rent_Med,0.680547293,0.035270667
Auckland: Waitemata and Gulf Ward,2004-03,1.4,HAM_Rent_Med,0.453677173,0.021968107
Auckland: Whau Ward,2004-03,1.4,HAM_Rent_Med,0.694444444,0.01888376
Buller District,2004-03,1.4,HAM_Rent_Med,0.766666667,0.001258917
Carterton District,2004-03,1.4,HAM_Rent_Med,0.757575758,0.000692405
Central Hawke's Bay District,2004-03,1.4,HAM_Rent_Med,0.722222222,0.002266051
Central Otago District,2004-03,1.4,HAM_Rent_Med,0.62601626,0.002580781
Christchurch City,2004-03,1.4,HAM_Rent_Med,0.690040455,0.108917331
Clutha District,2004-03,1.4,HAM_Rent_Med,0.650793651,0.001321863
Dunedin City,2004-03,1.4,HAM_Rent_Med,0.770261646,0.032878724
Far North District,2004-03,1.4,HAM_Rent_Med,0.776041667,0.008057071
Gisborne District,2004-03,1.4,HAM_Rent_Med,0.783216783,0.012001679
Gore District,2004-03,1.4,HAM_Rent_Med,0.640449438,0.001867394
