Unnamed: 0,Unnamed: 1,Whangarei,744131.068663274,0.0009,-0.0027,0.877791129159367,Date
,,Whanganui,520393.404029997,0.0318,0.0225,1.3223761548657,2024-06-01
,,Rangitikei,428934.636021749,0.0547,-0.0006,1.369922460353,2024-06-01
,,Manawatu,615446.874744352,0.0134,0.0053,1.42009411752076,2024-06-01
,#,Palmerston North,646124.534518461,0.0144,-0.0087,1.1658628412201,2024-06-01
,,Tararua,409790.467711794,-0.0083,-0.0116,1.32364163436549,2024-06-01
,,Horowhenua,566792.502941397,0.0181,0.0007,1.38267244101629,2024-06-01
,,Kapiti Coast,849881.8315625,0.0541,0.025,1.21856658468793,2024-06-01
,#W,Porirua,846210.962341845,0.0637,0.0234,1.21531053042111,2024-06-01
,#W,Upper Hutt,761576.529872867,0.0528,-0.0102,1.16717754521125,2024-06-01
,#W,Hutt,791930.174217826,0.031,-0.0043,1.01772846475499,2024-06-01
,#W,Wellington,1036824.53919978,0.0222,-0.01,0.947391873662531,2024-06-01
,,Wellington - Central & South,975471.449629832,0.0074,-0.0267,0.741101825095503,2024-06-01
,,Wellington - East,1148679.05233799,0.0309,0.0004,0.993089131658698,2024-06-01
,,Wellington - North,986763.433928873,0.0282,-0.0099,1.11715918101625,2024-06-01
,,Wellington - West,1192955.96493726,0.0229,0.0179,0.963894556431961,2024-06-01
,,Masterton,593555.539020064,0.0725,0.0533,1.07682134016817,2024-06-01
,,Carterton,633219.350699677,0.0044,-0.0078,1.27269883963706,2024-06-01
,,South Wairarapa,787787.090897879,-0.0109,0.0355,1.32921498107113,2024-06-01
,,Tasman,818707.87817193,0.049,0.0247,1.03878784103218,2024-06-01
,#,Nelson,784665.402710502,-0.0021,-0.0033,1.04881497372091,2024-06-01
,,Marlborough,708599.534849878,0.0256,0.0118,0.81696381416463,2024-06-01
,,Kaikoura,743389.646049966,0.1547,0.0323,0.721614379987787,2024-06-01
,,Buller,357801.605302227,0.0441,-0.0014,0.741271079856859,2024-06-01
,,Grey,413654.273560422,0.1253,0.0038,0.692155880290041,2024-06-01
,,Westland,433587.371954964,0.105,0.0203,0.805839043889348,2024-06-01
,,Hurunui,647788.026995789,0.0282,0.0303,1.07237126457865,2024-06-01
,,Waimakariri,714456.418731428,0.0221,0.0054,1.23119117191191,2024-06-01
,#,Christchurch,765011.086839534,0.0451,0.0034,1.01634955572301,2024-06-01
,,Christchurch - Banks Peninsula,859962.083496358,0.0884,0.0468,0.789995323943821,2024-06-01
,,Christchurch - Central & North,868306.450694068,0.045,-0.0047,0.961051300644271,2024-06-01
,,Christchurch - East,594986.963250966,0.0345,0.0043,0.922500414399896,2024-06-01
,,Christchurch - Hills,1090664.54163097,0.0466,0.0226,0.971965505538874,2024-06-01
,,Christchurch - Southwest,728120.357716989,0.0534,0.0038,1.144848670935,2024-06-01
,,Selwyn,838058.697323136,0.0397,0.0014,1.24728815114002,2024-06-01
,,Ashburton,564708.318860042,0.0533,0.0553,1.01763689094861,2024-06-01
,,Timaru,529855.27295134,0.0397,0.0127,1.11134729973119,2024-06-01
,,MacKenzie,755520.028835064,0.1458,0.0108,1.63755608833419,2024-06-01
,,Waimate,423983.399375975,-0.0379,-0.0316,1.24830654195841,2024-06-01
,,Waitaki,489064.775964934,0.0378,0.0128,1.14157376488255,2024-06-01
,,Central Otago,842279.360477816,0.0812,0.0185,1.65713326838182,2024-06-01
,,Queenstown Lakes,1823499.11864002,0.0622,0.0268,1.651637252126,2024-06-01
,#,Dunedin,649866.111218833,0.0511,0.0148,1.2705443134515,2024-06-01
,,Dunedin - Central & North,665432.720421433,0.0748,0.0185,1.20547171514367,2024-06-01
,,Dunedin - Peninsular & Coastal,629423.226830962,0.0443,0.045,1.32497996775645,2024-06-01
,,Dunedin - South,601407.415666456,0.0158,-0.0052,1.10643943156418,2024-06-01
,,Dunedin - Taieri,685034.555964943,0.0574,0.0165,1.33098507552332,2024-06-01
,,Clutha,405848.901047532,0.0144,0.0271,1.24037769965295,2024-06-01
,,Southland,511299.315643771,0.0274,0.0082,1.2207810994196,2024-06-01
,,Gore,420106.984307543,0.0032,0.0238,1.39019011002056,2024-06-01
,#,Invercargill,483278.595931235,0.0599,0.0233,1.19128252578253,2024-06-01
,,,,,,,2024-06-01
,,Auckland Area,1263936.52095002,-0.0012,-0.0259,1.32035020129685,2024-06-01
,,Wellington Area,918379.516617369,0.0314,-0.005,1.01607698454841,2024-06-01
,#,Main Urban Areas,1017699.75269539,0.0133,-0.0145,1.22506395709341,2024-06-01
,,Total NZ,927283.509358944,0.0176,-0.008,1.24201392998676,2024-06-01
,,,,,,,2024-06-01
,,,,,,,2024-06-01
,,,,,,,2024-06-01
,,,,,,,2024-06-01
,,,,,,,2024-06-01
,,,,,,,2024-06-01
,Notes on the above data:,,,,,,2024-06-01
,"1. The information included in the above table is based on the monthly property value index. This index is calculated based on the sales data entered into CoreLogic's system in the previous 3 month period. For example, information for the period ending June will be calculated based on sales entered between April 1 and June 30.",,,,,,2024-06-01
,"2. The average current value is the average (mean) value of all developed residential properties in the area based on the latest index. It is not an average or median sales price, as both of those only measure what happens to have sold in the period.",,,,,,2024-06-01
,"3.  The percentage change over three months, twelve months and since the 2007 market peak are based on the change in the property value index between that time and the current.",,,,,,2024-06-01
,4. Any of the statistical data shown in italics are calculated based on a sample set of data that is less than the recommended minimum. These results should be used with caution. Those showing N/A had too few sales to generate an index,,,,,,2024-06-01
